"","x"
"222",0.220779220779221
"223",0.193548387096774
"224",0.161290322580645
"225",0.17910447761194
"226",0.193548387096774
"227",0.213793103448276
"228",0.158730158730159
"229",0.274193548387097
"230",0.214285714285714
"231",0.209677419354839
"232",0.161290322580645
"233",0.25
"234",0.129032258064516
"235",0.17741935483871
"236",0.17741935483871
"237",0.274193548387097
"238",0.204724409448819
"239",0.237113402061856
"240",0.210526315789474
"241",0.209677419354839
"242",0.17910447761194
"243",0.129032258064516
"244",0.185714285714286
"245",0.2
"246",0.209876543209877
"247",0.171428571428571
"248",0.161290322580645
"249",0.30952380952381
"250",0.289855072463768
"251",0.17741935483871
"252",0.161290322580645
"253",0.17741935483871
"254",0.268292682926829
"255",0.225806451612903
"256",0.209677419354839
"257",0.202702702702703
"258",0.306451612903226
"259",0.225806451612903
"260",0.306451612903226
"261",0.282051282051282
"262",0.193548387096774
"263",0.241935483870968
"264",0.241935483870968
"265",0.209677419354839
"266",0.202380952380952
"267",0.17741935483871
"268",0.175675675675676
"269",0.258064516129032
"270",0.161290322580645
"271",0.2
"272",0.183098591549296
"273",0.193548387096774
"274",0.193548387096774
"275",0.186666666666667
"276",0.193548387096774
"277",0.258064516129032
"278",0.223529411764706
"279",0.2
"280",0.17741935483871
"281",0.240506329113924
"282",0.24031007751938
"283",0.171428571428571
"284",0.248175182481752
"285",0.207317073170732
"286",0.233644859813084
"287",0.233870967741935
"288",0.247706422018349
"289",0.219178082191781
"290",0.17741935483871
"291",0.189189189189189
"292",0.222222222222222
"293",0.237037037037037
"294",0.0967741935483871
"295",0.236559139784946
"296",0.17741935483871
"297",0.252336448598131
"298",0.244274809160305
"299",0.304347826086957
"300",0.20125786163522
"301",0.210526315789474
"302",0.244186046511628
"303",0.206611570247934
"304",0.264705882352941
"305",0.207792207792208
"306",0.195402298850575
"307",0.168831168831169
"308",0.174757281553398
"309",0.227848101265823
"310",0.225806451612903
"311",0.209677419354839
"312",0.209677419354839
"313",0.166666666666667
"314",0.197530864197531
"315",0.204918032786885
"316",0.241935483870968
"317",0.216494845360825
"318",0.224719101123595
"319",0.241935483870968
"320",0.193548387096774
